A,B
1973/1/1,31918
1973/2/1,32996
1973/3/1,33127
1973/4/1,33090
1973/5/1,32642
1973/6/1,33067
1973/7/1,33309
1973/8/1,33519
1973/9/1,33646
1973/10/1,33676
1973/11/1,33407
1973/12/1,33606
1974/1/1,42145
1974/2/1,35105
1974/3/1,34691
1974/4/1,35199
1974/5/1,35940
1974/6/1,35973
1974/7/1,36290
1974/8/1,36085
1974/9/1,35499
1974/10/1,34702
1974/11/1,33054
1974/12/1,33611
1975/1/1,33006
1975/2/1,32914
1975/3/1,32723
1975/4/1,33394
1975/5/1,33583
1975/6/1,35076
1975/7/1,35763
1975/8/1,35551
1975/9/1,35506
1975/10/1,35502
1975/11/1,34973
1975/12/1,35060
1976/1/1,39924
1976/2/1,39683
1976/3/1,39877
1976/4/1,39506
1976/5/1,39400
1976/6/1,39085
1976/7/1,39266
1976/8/1,38582
1976/9/1,37228
1976/10/1,37210
1976/11/1,36916
1976/12/1,36833
1977/1/1,37130
1977/2/1,36975
1977/3/1,37413
1977/4/1,37595
1977/5/1,37855
1977/6/1,38746
1977/7/1,40231
1977/8/1,39737
1977/9/1,39693
1977/10/1,39544
1977/11/1,38941
1977/12/1,39034
1978/1/1,44981
1978/2/1,42875
1978/3/1,43351
1978/4/1,43586
1978/5/1,43968
1978/6/1,44484
1978/7/1,45955
1978/8/1,45953
1978/9/1,46912
1978/10/1,41843
1978/11/1,47255
1978/12/1,48401
1979/1/1,47599
1979/2/1,47411
1979/3/1,47314
1979/4/1,43227
1979/5/1,47512
1979/6/1,49717
1979/7/1,50527
1979/8/1,50811
1979/9/1,50765
1979/10/1,50661
1979/11/1,50814
1979/12/1,50669
1980/1/1,50275
1980/2/1,49952
1980/3/1,50704
1980/4/1,51890
1980/5/1,52683
1980/6/1,52853
1980/7/1,53990
1980/8/1,53965
1980/9/1,54278
1980/10/1,54754
1980/11/1,54645
1980/12/1,53575
1981/1/1,51214
1981/2/1,49586
1981/3/1,48762
1981/4/1,51134
1981/5/1,47741
1981/6/1,48788
1981/7/1,50715
1981/8/1,50043
1981/9/1,49851
1981/10/1,49644
1981/11/1,49904
1981/12/1,49365
1982/1/1,47031
1982/2/1,46278
1982/3/1,45998
1982/4/1,45984
1982/5/1,46299
1982/6/1,47569
1982/7/1,48320
1982/8/1,48368
1982/9/1,47749
1982/10/1,47306
1982/11/1,47156
1982/12/1,46342
1983/1/1,46733
1983/2/1,45497
1983/3/1,45215
1983/4/1,45211
1983/5/1,45342
1983/6/1,45820
1983/7/1,47542
1983/8/1,48451
1983/9/1,47878
1983/10/1,48749
1983/11/1,48698
1983/12/1,49228
1984/1/1,49363
1984/2/1,49019
1984/3/1,52180
1984/4/1,52329
1984/5/1,52914
1984/6/1,53660
1984/7/1,54109
1984/8/1,53925
1984/9/1,54203
1984/10/1,54803
1984/11/1,55509
1984/12/1,55663
1985/1/1,56043
1985/2/1,55857
1985/3/1,55794
1985/4/1,55707
1985/5/1,55629
1985/6/1,55813
1985/7/1,55486
1985/8/1,55128
1985/9/1,54858
1985/10/1,54821
1985/11/1,54711
1985/12/1,54401
1986/1/1,54869
1986/2/1,54788
1986/3/1,56106
1986/4/1,55840
1986/5/1,55882
1986/6/1,56320
1986/7/1,56931
1986/8/1,56834
1986/9/1,56855
1986/10/1,57124
1986/11/1,57408
1986/12/1,57723
1987/1/1,57735
1987/2/1,57920
1987/3/1,57409
1987/4/1,57011
1987/5/1,57334
1987/6/1,57732
1987/7/1,59057
1987/8/1,59447
1987/9/1,59592
1987/10/1,59812
1987/11/1,59716
1987/12/1,59765
1988/1/1,59684
1988/2/1,59573
1988/3/1,59817
1988/4/1,60149
1988/5/1,60268
1988/6/1,60632
1988/7/1,59885
1988/8/1,59831
1988/9/1,60363
1988/10/1,60649
1988/11/1,60163
1988/12/1,60251
1989/1/1,60069
1989/2/1,58573
1989/3/1,58754
1989/4/1,58587
1989/5/1,58467
1989/6/1,57934
1989/7/1,58349
1989/8/1,58657
1989/9/1,59170
1989/10/1,58970
1989/11/1,58887
1989/12/1,58902
1990/1/1,58874
1990/2/1,58773
1990/3/1,58578
1990/4/1,58974
1990/5/1,58821
1990/6/1,59314
1990/7/1,59959
1990/8/1,59661
1990/9/1,59918
1990/10/1,59908
1990/11/1,59941
1990/12/1,60020
1991/1/1,59760
1991/2/1,59495
1991/3/1,59147
1991/4/1,58965
1991/5/1,59352
1991/6/1,59852
1991/7/1,60491
1991/8/1,60526
1991/9/1,60419
1991/10/1,60750
1991/11/1,60762
1991/12/1,60968
1992/1/1,60848
1992/2/1,60369
1992/3/1,60262
1992/4/1,60367
1992/5/1,60630
1992/6/1,60931
1992/7/1,61364
1992/8/1,61298
1992/9/1,61103
1992/10/1,60151
1992/11/1,60026
1992/12/1,60041
1993/1/1,59956
1993/2/1,59242
1993/3/1,58804
1993/4/1,58825
1993/5/1,59235
1993/6/1,59825
1993/7/1,60186
1993/8/1,60616
1993/9/1,60666
1993/10/1,60339
1993/11/1,60705
1993/12/1,60744
1994/1/1,60848
1994/2/1,60740
1994/3/1,60628
1994/4/1,60421
1994/5/1,60532
1994/6/1,60970
1994/7/1,61327
1994/8/1,61668
1994/9/1,61830
1994/10/1,61822
1994/11/1,62350
1994/12/1,63175
1995/1/1,62912
1995/2/1,62523
1995/3/1,62289
1995/4/1,62286
1995/5/1,62281
1995/6/1,62253
1995/7/1,62492
1995/8/1,61355
1995/9/1,61587
1995/10/1,62837
1995/11/1,62869
1995/12/1,62788
1996/1/1,62872
1996/2/1,62628
1996/3/1,62566
1996/4/1,62066
1996/5/1,61929
1996/6/1,62008
1996/7/1,62152
1996/8/1,62007
1996/9/1,61924
1996/10/1,62010
1996/11/1,62135
1996/12/1,61982
1997/1/1,61907
1997/2/1,61844
1997/3/1,61676
1997/4/1,61405
1997/5/1,60935
1997/6/1,61308
1997/7/1,61949
1997/8/1,61911
1997/9/1,62007
1997/10/1,62291
1997/11/1,62148
1997/12/1,62225
1998/1/1,62092
1998/2/1,62128
1998/3/1,61984
1998/4/1,61570
1998/5/1,61229
1998/6/1,61010
1998/7/1,61308
1998/8/1,61702
1998/9/1,61361
1998/10/1,61449
1998/11/1,67193
1998/12/1,68094
1999/1/1,68219
1999/2/1,67918
1999/3/1,67852
1999/4/1,69149
1999/5/1,70382
1999/6/1,71542
1999/7/1,71756
1999/8/1,72149
1999/9/1,71208
1999/10/1,71607
1999/11/1,71805
1999/12/1,72248
2000/1/1,72379
2000/2/1,71819
2000/3/1,71513
2000/4/1,71332
2000/5/1,71149
2000/6/1,70881
2000/7/1,71272
2000/8/1,70570
2000/9/1,70626
2000/10/1,70385
2000/11/1,70460
2000/12/1,70195
2001/1/1,69928
2001/2/1,69833
2001/3/1,69443
2001/4/1,68925
2001/5/1,69004
2001/6/1,68522
2001/7/1,68570
2001/8/1,68931
2001/9/1,68424
2001/10/1,67463
2001/11/1,67221
2001/12/1,67526
2002/1/1,66704
2002/2/1,66488
2002/3/1,66257
2002/4/1,65939
2002/5/1,65442
2002/6/1,65208
2002/7/1,65776
2002/8/1,65662
2002/9/1,65457
2002/10/1,65613
2002/11/1,65327
2002/12/1,65186
2003/1/1,64648
2003/2/1,64304
2003/3/1,64358
2003/4/1,63945
2003/5/1,63057
2003/6/1,62886
2003/7/1,63539
2003/8/1,63684
2003/9/1,63404
2003/10/1,63295
2003/11/1,63065
2003/12/1,63258
2004/1/1,63285
2004/2/1,63171
2004/3/1,63111
2004/4/1,62741
2004/5/1,62488
2004/6/1,62357
2004/7/1,62522
2004/8/1,62310
2004/9/1,62378
2004/10/1,62272
2004/11/1,61987
2004/12/1,61928
2005/1/1,61567
2005/2/1,61161
2005/3/1,60656
2005/4/1,60886
2005/5/1,60812
2005/6/1,60574
2005/7/1,60538
2005/8/1,60401
2005/9/1,60140
2005/10/1,60022
2005/11/1,59955
2005/12/1,59719
2006/1/1,59610
2006/2/1,59525
