A,B
2015/4/12,48
2015/4/19,50
2015/4/26,45
2015/5/3,42
2015/5/10,44
2015/5/17,49
2015/5/24,43
2015/5/31,45
2015/6/7,41
2015/6/14,45
2015/6/21,42
2015/6/28,37
2015/7/5,36
2015/7/12,39
2015/7/19,38
2015/7/26,39
2015/8/2,33
2015/8/9,31
2015/8/16,36
2015/8/23,32
2015/8/30,42
2015/9/6,38
2015/9/13,44
2015/9/20,58
2015/9/27,52
2015/10/4,53
2015/10/11,55
2015/10/18,49
2015/10/25,51
2015/11/1,52
2015/11/8,56
2015/11/15,51
2015/11/22,57
2015/11/29,63
2015/12/6,56
2015/12/13,71
2015/12/20,63
2015/12/27,66
2016/1/3,43
2016/1/10,42
2016/1/17,48
2016/1/24,48
2016/1/31,53
2016/2/7,52
2016/2/14,64
2016/2/21,67
2016/2/28,60
2016/3/6,56
2016/3/13,54
2016/3/20,51
2016/3/27,50
2016/4/3,46
2016/4/10,46
2016/4/17,33
2016/4/24,38
2016/5/1,38
2016/5/8,36
2016/5/15,32
2016/5/22,31
2016/5/29,36
2016/6/5,31
2016/6/12,34
2016/6/19,25
2016/6/26,26
2016/7/3,28
2016/7/10,26
2016/7/17,33
2016/7/24,38
2016/7/31,32
2016/8/7,30
2016/8/14,28
2016/8/21,31
2016/8/28,31
2016/9/4,36
2016/9/11,31
2016/9/18,39
2016/9/25,36
2016/10/2,39
2016/10/9,41
2016/10/16,42
2016/10/23,41
2016/10/30,48
2016/11/6,44
2016/11/13,47
2016/11/20,47
2016/11/27,50
2016/12/4,51
2016/12/11,50
2016/12/18,57
2016/12/25,65
2017/1/1,59
2017/1/8,63
2017/1/15,59
2017/1/22,51
2017/1/29,55
2017/2/5,65
2017/2/12,63
2017/2/19,54
2017/2/26,61
2017/3/5,56
2017/3/12,63
2017/3/19,62
2017/3/26,61
2017/4/2,63
2017/4/9,58
2017/4/16,56
2017/4/23,54
2017/4/30,57
2017/5/7,58
2017/5/14,61
2017/5/21,52
2017/5/28,53
2017/6/4,43
2017/6/11,54
2017/6/18,51
2017/6/25,51
2017/7/2,52
2017/7/9,55
2017/7/16,59
2017/7/23,47
2017/7/30,45
2017/8/6,48
2017/8/13,43
2017/8/20,47
2017/8/27,42
2017/9/3,53
2017/9/10,55
2017/9/17,60
2017/9/24,66
2017/10/1,55
2017/10/8,56
2017/10/15,63
2017/10/22,60
2017/10/29,66
2017/11/5,62
2017/11/12,63
2017/11/19,64
2017/11/26,56
2017/12/3,74
2017/12/10,77
2017/12/17,88
2017/12/24,100
2017/12/31,97
2018/1/7,88
2018/1/14,88
2018/1/21,87
2018/1/28,87
2018/2/4,77
2018/2/11,71
2018/2/18,81
2018/2/25,79
2018/3/4,71
2018/3/11,69
2018/3/18,65
2018/3/25,70
2018/4/1,60
2018/4/8,63
2018/4/15,60
2018/4/22,58
2018/4/29,52
2018/5/6,48
2018/5/13,46
2018/5/20,47
2018/5/27,50
2018/6/3,46
2018/6/10,47
2018/6/17,45
2018/6/24,41
2018/7/1,48
2018/7/8,46
2018/7/15,46
2018/7/22,49
2018/7/29,50
2018/8/5,46
2018/8/12,52
2018/8/19,48
2018/8/26,45
2018/9/2,55
2018/9/9,61
2018/9/16,64
2018/9/23,61
2018/9/30,61
2018/10/7,70
2018/10/14,61
2018/10/21,64
2018/10/28,71
2018/11/4,64
2018/11/11,65
2018/11/18,68
2018/11/25,63
2018/12/2,72
2018/12/9,77
2018/12/16,72
2018/12/23,78
2018/12/30,87
2019/1/6,96
2019/1/13,82
2019/1/20,85
2019/1/27,86
2019/2/3,69
2019/2/10,74
2019/2/17,75
2019/2/24,74
2019/3/3,67
2019/3/10,66
2019/3/17,60
2019/3/24,73
2019/3/31,64
2019/4/7,63
2019/4/14,61
2019/4/21,53
2019/4/28,55
2019/5/5,61
2019/5/12,58
2019/5/19,60
2019/5/26,62
2019/6/2,55
2019/6/9,56
2019/6/16,57
2019/6/23,48
2019/6/30,53
2019/7/7,43
2019/7/14,52
2019/7/21,51
2019/7/28,42
2019/8/4,47
2019/8/11,48
2019/8/18,46
2019/8/25,49
2019/9/1,49
2019/9/8,53
2019/9/15,63
2019/9/22,66
2019/9/29,64
2019/10/6,60
2019/10/13,72
2019/10/20,62
2019/10/27,58
2019/11/3,63
2019/11/10,66
2019/11/17,76
2019/11/24,73
2019/12/1,81
2019/12/8,77
2019/12/15,90
2019/12/22,87
2019/12/29,85
2020/1/5,84
2020/1/12,74
2020/1/19,84
2020/1/26,87
2020/2/2,73
2020/2/9,67
2020/2/16,58
2020/2/23,52
2020/3/1,50
2020/3/8,48
2020/3/15,51
2020/3/22,45
2020/3/29,36
2020/4/5,40
